"","LFC","P","Padj","DE","DE_dir","labels","delabel"
"4EM+PD1+TIGIT-",-1.26055233099585,0.000497,0.00700376470588235,TRUE,"DOWN","4EM+PD1+TIGIT-","4EM+PD1+TIGIT-"
"4EM+PD1+TIGIT+",-1.63566626735241,0.0171,0.0475322033898305,TRUE,"DOWN","4EM+PD1+TIGIT+","4EM+PD1+TIGIT+"
"4EM+PD1-TIGIT-",-1.03866386217159,0.00741,0.0243048,TRUE,"DOWN","4EM+PD1-TIGIT-","4EM+PD1-TIGIT-"
"4EM+PD1-TIGIT+",-1.65375946942655,0.098,0.148966666666667,FALSE,"NO","4EM+PD1-TIGIT+",NA
"4EM+TIGIT+",-1.63732837964136,0.0169,0.0475322033898305,TRUE,"DOWN","4EM+TIGIT+","4EM+TIGIT+"
"4EMTM",-1.34950371599546,0.000971,0.0083898947368421,TRUE,"DOWN","4EMTM","4EMTM"
"4CM(CTAP2)",-0.0814009225380807,0.738,0.780851612903226,FALSE,"NO","4CM(CTAP2)",NA
"4CM",-0.04787991167125,0.837,0.863320754716981,FALSE,"NO","4CM",NA
"4CM_TH1",-0.437139153265101,0.313,0.366382978723404,FALSE,"NO","4CM_TH1",NA
"4CM_TH17",-0.200870551072105,0.521,0.589268965517241,FALSE,"NO","4CM_TH17",NA
"4CM_Th17TO1",-0.138213107476479,0.795,0.835769230769231,FALSE,"NO","4CM_Th17TO1",NA
"4CM_TH2",0.689366067859157,0.054,0.0995056179775281,FALSE,"NO","4CM_TH2",NA
"4CM_TH22",0.00909995566314552,0.983,0.983,FALSE,"NO","4CM_TH22",NA
"4CM+226+",-0.104082428270157,0.67,0.726131578947368,FALSE,"NO","4CM+226+",NA
"4CM+39+",-0.329833415324916,0.3,0.353956834532374,FALSE,"NO","4CM+39+",NA
"4CM+DR+",-0.599379874512303,0.155,0.22104347826087,FALSE,"NO","4CM+DR+",NA
"4CM+PD1+",-0.354886635246999,0.224,0.289259842519685,FALSE,"NO","4CM+PD1+",NA
"4CM+PD1+TIGIT-",-0.215267855880131,0.404,0.460111111111111,FALSE,"NO","4CM+PD1+TIGIT-",NA
"4CM+PD1+TIGIT+",-0.469909168815771,0.224,0.289259842519685,FALSE,"NO","4CM+PD1+TIGIT+",NA
"4CM+PD1-TIGIT-",0.374111148784719,0.229,0.29340625,FALSE,"NO","4CM+PD1-TIGIT-",NA
"4CM+PD1-TIGIT+",0.00887097552716418,0.982,0.983,FALSE,"NO","4CM+PD1-TIGIT+",NA
"4CM+TIGIT+",-0.41035909942001,0.274,0.330411764705882,FALSE,"NO","4CM+TIGIT+",NA
"4TM_TH1",-1.94855670338611,0.00269,0.0116094736842105,TRUE,"DOWN","4TM_TH1","4TM_TH1"
"4TM_TH17",-0.975781422769506,0.000726,0.00700376470588235,TRUE,"DOWN","4TM_TH17","4TM_TH17"
"4TM_Th17TO1",-0.78757537590661,0.119,0.175714285714286,FALSE,"NO","4TM_Th17TO1",NA
